id,pred_score
sp|A1Z9L3|DHX8_DROME ATP-dependent RNA helicase DHX8 OS=Drosophila melanogaster OX=7227 GN=pea PE=1 SV=1,0.5022949663843748
sp|A2PYH4|HFM1_HUMAN Probable ATP-dependent DNA helicase HFM1 OS=Homo sapiens OX=9606 GN=HFM1 PE=1 SV=2,0.45712493385037317
sp|A4K436|RTEL1_BOVIN Regulator of telomere elongation helicase 1 OS=Bos taurus OX=9913 GN=RTEL1 PE=2 SV=1,0.47845853878708944
sp|A6ZM04|PIF1_YEAS7 ATP-dependent DNA helicase PIF1 OS=Saccharomyces cerevisiae (strain YJM789) OX=307796 GN=PIF1 PE=3 SV=1,0.4632904664719065
sp|B2RR83|YTDC2_MOUSE 3'-5' RNA helicase YTHDC2 OS=Mus musculus OX=10090 GN=Ythdc2 PE=1 SV=1,0.4517745093821597
sp|B4LX81|SPNE_DROVI Probable ATP-dependent RNA helicase spindle-E OS=Drosophila virilis OX=7244 GN=spn-E PE=3 SV=1,0.4457966435169214
sp|B6DMK2|MER3_ORYSJ ATP-dependent DNA helicase MER3 homolog OS=Oryza sativa subsp. japonica OX=39947 GN=MER3 PE=2 SV=1,0.5017095453770081
sp|B6EU02|JBP2_LEITA Bifunctional helicase and thymine dioxygenase JBP2 OS=Leishmania tarentolae OX=5689 GN=JBP2 PE=1 SV=1,0.4548858611604574
sp|B6ZLK2|CHD1_CHICK Chromodomain-helicase-DNA-binding protein 1 OS=Gallus gallus OX=9031 GN=CHD1 PE=1 SV=1,0.48817956150165126
sp|B9DFG3|ISE2_ARATH DExH-box ATP-dependent RNA helicase DExH15 chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ISE2 PE=1 SV=2,0.4416760065450386
sp|D1KF50|SRS2L_ARATH ATP-dependent DNA helicase SRS2-like protein At4g25120 OS=Arabidopsis thaliana OX=3702 GN=SRS2 PE=1 SV=1,0.4840739378718018
sp|D3ZVK1|MCM8_RAT DNA helicase MCM8 OS=Rattus norvegicus OX=10116 GN=Mcm8 PE=3 SV=1,0.4778813360219356
sp|D4A2Z8|DHX36_RAT ATP-dependent DNA/RNA helicase DHX36 OS=Rattus norvegicus OX=10116 GN=Dhx36 PE=1 SV=1,0.43568583787212817
sp|D4ACP5|RECQ5_RAT ATP-dependent DNA helicase Q5 OS=Rattus norvegicus OX=10116 GN=Recql5 PE=1 SV=1,0.4601235151100622
sp|E1BPX4|MCM8_BOVIN DNA helicase MCM8 OS=Bos taurus OX=9913 GN=MCM8 PE=3 SV=2,0.4495662297359522
sp|F1M5F3|MCM9_RAT DNA helicase MCM9 OS=Rattus norvegicus OX=10116 GN=Mcm9 PE=3 SV=2,0.4757560319489441
sp|F1ND48|FBH1_CHICK F-box DNA helicase 1 OS=Gallus gallus OX=9031 GN=FBH1 PE=2 SV=2,0.4596808844076644
