id,pred_score
sp|A1Z9L3|DHX8_DROME ATP-dependent RNA helicase DHX8 OS=Drosophila melanogaster OX=7227 GN=pea PE=1 SV=1,0.4977533819410246
sp|A2PYH4|HFM1_HUMAN Probable ATP-dependent DNA helicase HFM1 OS=Homo sapiens OX=9606 GN=HFM1 PE=1 SV=2,0.4647312062040288
sp|A4K436|RTEL1_BOVIN Regulator of telomere elongation helicase 1 OS=Bos taurus OX=9913 GN=RTEL1 PE=2 SV=1,0.4936840285406656
sp|A6ZM04|PIF1_YEAS7 ATP-dependent DNA helicase PIF1 OS=Saccharomyces cerevisiae (strain YJM789) OX=307796 GN=PIF1 PE=3 SV=1,0.4636813385751299
sp|B2RR83|YTDC2_MOUSE 3'-5' RNA helicase YTHDC2 OS=Mus musculus OX=10090 GN=Ythdc2 PE=1 SV=1,0.44247715708727414
sp|B4LX81|SPNE_DROVI Probable ATP-dependent RNA helicase spindle-E OS=Drosophila virilis OX=7244 GN=spn-E PE=3 SV=1,0.45538421984315636
sp|B6DMK2|MER3_ORYSJ ATP-dependent DNA helicase MER3 homolog OS=Oryza sativa subsp. japonica OX=39947 GN=MER3 PE=2 SV=1,0.5116242674397903
sp|B6EU02|JBP2_LEITA Bifunctional helicase and thymine dioxygenase JBP2 OS=Leishmania tarentolae OX=5689 GN=JBP2 PE=1 SV=1,0.4701481814670614
sp|B6ZLK2|CHD1_CHICK Chromodomain-helicase-DNA-binding protein 1 OS=Gallus gallus OX=9031 GN=CHD1 PE=1 SV=1,0.4912518427213027
sp|B9DFG3|ISE2_ARATH DExH-box ATP-dependent RNA helicase DExH15 chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ISE2 PE=1 SV=2,0.4471827391528524
sp|D1KF50|SRS2L_ARATH ATP-dependent DNA helicase SRS2-like protein At4g25120 OS=Arabidopsis thaliana OX=3702 GN=SRS2 PE=1 SV=1,0.49609309625954756
sp|D3ZVK1|MCM8_RAT DNA helicase MCM8 OS=Rattus norvegicus OX=10116 GN=Mcm8 PE=3 SV=1,0.48732794397263585
sp|D4A2Z8|DHX36_RAT ATP-dependent DNA/RNA helicase DHX36 OS=Rattus norvegicus OX=10116 GN=Dhx36 PE=1 SV=1,0.44207609801537245
sp|D4ACP5|RECQ5_RAT ATP-dependent DNA helicase Q5 OS=Rattus norvegicus OX=10116 GN=Recql5 PE=1 SV=1,0.46815042254029593
sp|E1BPX4|MCM8_BOVIN DNA helicase MCM8 OS=Bos taurus OX=9913 GN=MCM8 PE=3 SV=2,0.4519367025372761
